atributo,descripción,extra
id,Identificador de la mazana,extra descripción
tamanio,"El tamaño representa las dimensiones físicas de la manzana (generalmente diámetro o peso en gramos).Tipo de dato: Numérico continuo.Contexto: Frutas más grandes pueden percibirse como más atractivas comercialmente, aunque depende del mercado. Datos normalizados","Las manzanas producidas en Canatlán, Durango, presentan un contenido de sólidos solubles (azúcares) que varía según la variedad cultivada. Aunque no se dispone de datos específicos para esta región, las normas mexicanas establecen que las variedades rojas y bicoloreadas deben tener un contenido mínimo de sólidos solubles de 11% (equivalente a 11 grados Brix), mientras que las variedades amarillas y verdes deben alcanzar al menos 12%. "
peso,Masa de la manzana en gramos.Tipo de dato: Numérico continuo.Contexto: Indica el volumen de la fruta y puede relacionarse con el tamaño y la jugosidad. Datos normalizados,"La masa de una manzana se mide comúnmente en gramos (g) o kilogramos (kg) mediante alguna balzna o pesa; es un atributo físico importante que se utiliza para evaluar la calidad de la fruta. Este parámetro es clave para clasificar las manzanas según su tamaño, que es un criterio esencial en el comercio y la aceptación por parte de los consumidores. "
dulzura,"Nivel de azúcares presentes en la manzana (medido en grados Brix). Tipo de dato: Numérico continuo. Contexto: Afecta la percepción del sabor y puede influir directamente en la preferencia del consumidor. Los grados Brix indican la cantidad de azúcares naturales (como fructosa, glucosa y sacarosa) presentes en el jugo extraído de la fruta. Se utiliza un instrumento llamado refractómetro para medir cómo la luz se refracta al pasar a través de una muestra líquida de la fruta (su jugo). El resultado es un número en grados Brix.
1 grado Brix = 1 gramo de azúcar por cada 100 gramos de solución.
Ejemplo: Un jugo de manzana con 15° Brix tiene aproximadamente un 15% de azúcares. Datos normalizados","Se utiliza un instrumento llamado refractómetro para medir los grados Brix, que representan el porcentaje de sólidos solubles en una solución. Se realiza mediante un refractómetro óptico o digital. que es una herramienta que mide cómo la luz se refracta al pasar a través del jugo de la fruta, lo cual está relacionado con la concentración de azúcares"
crujiente,La crujientez de una manzana es una propiedad sensorial relacionada con su textura. Es una de las características clave que define la calidad de una manzana fresca y la satisfacción del consumidor.  Variable aleatoria continua normalizada,Es una de las características clave que define la calidad de una manzana fresca y la satisfacción del consumidor.. La crujientez se refiere a la resistencia que ofrece la pulpa de la manzana cuando es mordida y su capacidad de producir un sonido distintivo al romperse. Está influenciada por la estructura celular de la fruta y la cantidad de humedad en sus tejidos
jugosidad,"La jugosidad de una manzana es una propiedad sensorial que describe la cantidad de líquido liberado al morder la fruta. Es una característica clave que influye en la percepción de frescura y calidad por parte del consumidor. Una manzana jugosa es más atractiva para los consumidores, ya que se asocia con frescura y buen sabor. Valor conitnuno normalizado","Para medir el jugo puede ser evaluado por comensales (catadores) probadores de manzana; puede ser extrayendo el jugo a base de presión o mediante método de secado de la mnzana evaluando el (peso inicial m,enos peso final) entre el peso inicial, todo eso multipicado por 100 para encontrar un valor relativo."
madurez,La madurez de una manzana es un estado fisiológico que indica que la fruta ha alcanzado su máximo desarrollo y está lista para ser cosechada o consumida. ,"Es un factor crucial que afecta la calidad, el sabor, la textura, el aroma y la vida útil de la manzana. Existen dos tipos principales de madurez que se evalúan: la madurez fisiológica y la madurez comercial. Madurez fisiológica es el punto en el que la manzana ha completado su crecimiento y desarrollo, si se cosecha en esta etapa, la fruta podrá continuar madurando y desarrollar sus características óptimas de sabor, color y textura; este es el momento ideal para la cosecha. Madurez comercial es el momento en que la manzana tiene las características deseadas para el mercado, como el color y la textura adecuados.
Depende de factores como el destino de la fruta (consumo inmediato o almacenamiento) y las preferencias del consumidor. Para determinar la madurez de una manza se hacen pruebas visuales, sensoriales, por medio de instrumentos mas objetivas mediante aplicación de almidón. La madurez tal vez está relacionada con la firmeza la cidez la variedad, las condiciones clomáticas entre otros aspectos de calidad."
acidez,"La acidez de una manzana es el nivel de compuestos ácidos presentes en la fruta, como el ácido málico (el más abundante en las manzanas), ácido cítrico y ácido tartárico. La acidez influye en el sabor, balanceando la dulzura y proporcionando esa sensación refrescante que muchas personas disfrutan en las manzanas. valor continuo normalizado",
calidad,Calidad buena o mala. Valor nominal.,
,,
